ID1,Boro,Block,Lot,Boro,Block,Lot,,StreetNumber,Street,ClientID,Active,
K-   19-   1,K,19,1,3,00019,0001,3000190001,20-40,Jay Street,TWO TREES,Y,
K-   27-  40,K,27,40,3,00027,0040,3000270040,26,Washington Street,TWO TREES,Y,
K-   28-   5,K,28,5,3,00028,0005,3000280005,25-29,Washington Street,TWO TREES,Y,
K-   37-   1,K,37,1,3,00037,0001,3000370001,75,Front Street,TWO TREES,Y,
K-   38-   1,K,38,1,3,00038,0001,3000380001,39-55,Washington Street,TWO TREES,Y,
K-  250-  44,K,250,44,3,00250,0044,3002500044,16,Court Street,SLGREEN,Y,
K- 1890-1001,K,1890,1001,3,01890,1001,3018901001,163,Washington Avenue,AMER REALTY CAP,Y,
K- 2009-   1,K,2009,1,3,02009,0001,3020090001,487,Cleremont Avenue,RXR,Y,
K- 2351-1085,K,2351,1085,3,02351,1085,3023511085,248,Bedford Avenue,SLGREEN,Y,
K- 6346-  53,K,6346,53,3,06346,0053,3063460053,2063,86th Street,AMER REALTY CAP,Y,
K- 6346-  54,K,6346,54,3,06346,0054,3063460054,2061,86th Street,AMER REALTY CAP,Y,
K- 6779-  20,K,6779,20,3,06779,0020,3067790020,1623,Kings Highway,AMER REALTY CAP,Y,
K- 6794-  64,K,6794,64,3,06794,0064,3067940064,2091,Coney Island Avenue,AMER REALTY CAP,Y,
K- 6794-  74,K,6794,74,3,06794,0074,3067940074,2067-73,Coney Island Avenue,AMER REALTY CAP,Y,
K- 6794-  78,K,6794,78,3,06794,0078,3067940078,1104,Kings Highway,AMER REALTY CAP,Y,
M-    5-  10,M,5,10,1,00005,0010,1000050010,115,Broad Street,EDGE,Y,
M-   13-   1,M,13,1,1,00013,0001,1000130001,1,Broadway,LOGANY,Y,
M-   21-   1,M,21,1,1,00021,0001,1000210001,61,Broadway,RXR,Y,
M-   29-   1,M,29,1,1,00029,0001,1000290001,91-97,Broad Street,BEACON,Y,
M-   35-   1,M,35,1,1,00035,0001,1000350001,77-93,Front Street,BEACON,Y,
M-   35-   1,M,35,1,1,00035,0001,1000350001,77-93,FRONT STREET (32 OLD SLIP),RXR,Y,
M-   37-  23,M,37,23,1,00037,0023,1000370023,180,Maiden Lane,SLG MONITORED,Y,
M-   38-   1,M,38,1,1,00038,0001,1000380001,100,Wall Street,SAVANNA,Y,
M-   51-   7,M,51,7,1,00051,0007,1000510007,68,Trinity Place,TRINITY,Y,
M-   78-   4,M,78,4,1,00078,0004,1000780004,123-33,William Street,AMER REALTY CAP,Y,
M-   80-   1,M,80,1,1,00080,0001,1000800001,195,Broadway,LAPIDUS,Y,
M-   89-  12,M,89,12,1,00089,0012,1000890012,212-22,Broadway,RREEF,Y,
M-   92-   1,M,92,1,1,00092,0001,1000920001,169,William Street,SLG MONITORED,Y,
M-  124-   4,M,124,4,1,00124,0004,1001240004,13-Sep,Park Place,COLLIERS INTL,Y,
M-  125-  20,M,125,20,1,00125,0020,1001250020,100-06,Church Street,SLG MONITORED,Y,
M-  135-   5,M,135,5,1,00135,0005,1001350005,14-Dec,Warren Street,DDG,Y,
M-  144-  40,M,144,40,1,00144,0040,1001440040,56-70,Hudson Street,COLLIERS INTL,Y,
M-  178-  29,M,178,29,1,00178,0029,1001780029,98,Franklin Street,DDG,Y,
M-  212-1301,M,212,1301,1,00212,1301,1002121301,50,Varick Street,AMER REALTY CAP,Y,
M-  218-1101,M,218,1101,1,00218,1101,1002181101,92,Laight Street,AMER REALTY CAP,Y,
M-  218-1102,M,218,1102,1,00218,1102,1002181102,92,Laight Street,AMER REALTY CAP,Y,
M-  218-1168,M,218,1168,1,00218,1168,1002181168,92-94,Laight Street,AMER REALTY CAP,Y,
M-  218-1169,M,218,1169,1,00218,1169,1002181169,92-94,Laight Street,AMER REALTY CAP,Y,
M-  221-  30,M,221,30,1,00221,0030,1002210030,182,Hudson Street,TRINITY,Y,
M-  221-  35,M,221,35,1,00221,0035,1002210035,16-Dec,Vestry Street,TRINITY,Y,
M-  225-   8,M,225,8,1,00225,0008,1002250008,111-13,Watts Street,TRINITY,Y,
M-  226-   1,M,226,1,1,00226,0001,1002260001,431-73,Canal Street,TRINITY,Y,
M-  226-  21,M,226,21,1,00226,0021,1002260021,,Canal Street,TRINITY,Y,
M-  227-  63,M,227,63,1,00227,0063,1002270063,417-21,Canal Street,TRINITY,Y,
M-  227-  69,M,227,69,1,00227,0069,1002270069,74,Varick Street,TRINITY,Y,
M-  227-  70,M,227,70,1,00227,0070,1002270070,76-78,Varick Street,TRINITY,Y,
M-  227-  76,M,227,76,1,00227,0076,1002270076,17-Nov,Grand Street,TRINITY,Y,
M-  227-  80,M,227,80,1,00227,0080,1002270080,87,Avenue of the Americas,TRINITY,Y,
M-  228-  20,M,228,20,1,00228,0020,1002280020,325-29,West Broadway,DDG,Y,
M-  286-   2,M,286,2,1,00286,0002,1002860002,211,Henry Street,LEEROBER,Y,
M-  471-  25,M,471,25,1,00471,0025,1004710025,176-80,Grand Street,SPLIT RAIL,Y,
M-  473-  16,M,473,16,1,00473,0016,1004730016,433,Broome Street,NOVROS,Y,
M-  476-   1,M,476,1,1,00476,0001,1004760001,92-98,Avenue of the Americas,TRINITY,Y,
M-  476-   7,M,476,7,1,00476,0007,1004760007,100-06,Avenue of the Americas,TRINITY,Y,
M-  477-  11,M,477,11,1,00477,0011,1004770011,57-61,Watts Street,TRINITY,Y,
M-  487-  20,M,487,20,1,00487,0020,1004870020,399-01,West Broadway,WASSERSTEIN,Y,
M-  491-   3,M,491,3,1,00491,0003,1004910003,114-22,Varick Street,TRINITY,Y,
M-  491-  46,M,491,46,1,00491,0046,1004910046,151-57,Avenue of the Americas,TRINITY,Y,
M-  494-  15,M,494,15,1,00494,0015,1004940015,40-44,Prince Street,SILVEDA,Y,
M-  499-   6,M,499,6,1,00499,0006,1004990006,102,Greene Street,SLGREEN,Y,
M-  500-  36,M,500,36,1,00500,0036,1005000036,131-33,Spring Street,SLGREEN,Y,
M-  500-  38,M,500,38,1,00500,0038,1005000038,135-37,Spring Street,SLGREEN,Y,
M-  506-1001,M,506,1001,1,00506,1001,1005061001,160-70,Varick Street,TRINITY,Y,
M-  524-   9,M,524,9,1,00524,0009,1005240009,509-15,La Guardia Place,MWMKTS,Y,
M-  525-  56,M,525,56,1,00525,0056,1005250056,88,West Houston Street,PIRGOUSIS,Y,
M-  569-1001,M,569,1001,1,00569,1001,1005691001,12,East 12th Street,SLG-PERSONAL,Y,
M-  569-1030,M,569,1030,1,00569,1030,1005691030,8,East 12th Street,SLG-PERSONAL,Y,
M-  579-  47,M,579,47,1,00579,0047,1005790047,304,Hudson Street,TRINITY,Y,
M-  579-  60,M,579,60,1,00579,0060,1005790060,50-60,Vandam Street,TRINITY,Y,
M-  579-  68,M,579,68,1,00579,0068,1005790068,143-51,Varick Street,TRINITY,Y,
M-  579-  70,M,579,70,1,00579,0070,1005790070,137-41,Varick Street,TRINITY,Y,
M-  579-  74,M,579,74,1,00579,0074,1005790074,275-79,Spring Street,TRINITY,Y,
M-  580-  39,M,580,39,1,00580,0039,1005800039,348-64,Hudson Street,TRINITY,Y,
M-  580-1001,M,580,1001,1,00580,1001,1005801001,330,Hudson Street,TRINITY,Y,
M-  581-  63,M,581,63,1,00581,0063,1005810063,207-29,Varick Street,TRINITY,Y,
M-  597-1001,M,597,1001,1,00597,1001,1005971001,95,Vandam Street,SILVEDA,Y,
M-  598-  42,M,598,42,1,00598,0042,1005980042,551-59,Greenwich Street,TRINITY,Y,
M-  598-  48,M,598,48,1,00598,0048,1005980048,561-65,Greenwich Street,TRINITY,Y,
M-  598-  58,M,598,58,1,00598,0058,1005980058,341-61,Hudson Street,TRINITY,Y,
M-  599-  64,M,599,64,1,00599,0064,1005990064,363-85,Hudson Street,TRINITY,Y,
M-  602-  68,M,602,68,1,00602,0068,1006020068,423-45,Hudson Street,TRINITY,Y,
M-  618-1431,M,618,1431,1,00618,1431,1006181431,122,Greenwich Avenue,AMER REALTY CAP,Y,
M-  618-1432,M,618,1432,1,00618,1432,1006181432,122,Greenwich Avenue,AMER REALTY CAP,Y,
M-  618-1434,M,618,1434,1,00618,1434,1006181434,122,Greenwich Avenue,AMER REALTY CAP,Y,
M-  618-1435,M,618,1435,1,00618,1435,1006181435,122,Greenwich Avenue,AMER REALTY CAP,Y,
M-  620-  19,M,620,19,1,00620,0019,1006200019,350,Bleecker Street,ARC MONITORED,Y,
M-  621-1101,M,621,1101,1,00621,1101,1006211101,92,Perry Street,AMER REALTY CAP,Y,
M-  621-1122,M,621,1122,1,00621,1122,1006211122,382-84,Bleecker Street,AMER REALTY CAP,Y,
M-  621-1123,M,621,1123,1,00621,1123,1006211123,382-84,Bleecker Street,AMER REALTY CAP,Y,
M-  621-1201,M,621,1201,1,00621,1201,1006211201,367,Bleecker Street,AMER REALTY CAP,Y,
M-  622-1101,M,622,1101,1,00622,1101,1006221101,387,Bleecker Street,AMER REALTY CAP,Y,
M-  645-  25,M,645,25,1,00645,0025,1006450025,837-43,WASHINGTON STREET,TIAA-CREF,Y,
M-  672-   1,M,672,1,1,00672,0001,1006720001,601,West 26th Street,RXR,Y,
M-  697-  13,M,697,13,1,00697,0013,1006970013,521-41,West 25th Street,LAPIDUS,Y,
M-  697-  23,M,697,23,1,00697,0023,1006970023,511-19,West 25th Street,LAPIDUS,Y,
M-  729-9001,M,729,9001,1,00729,9001,1007299001,450,West 33rd Street,BROOKFIELD,Y,
M-  738-1338,M,738,1338,1,00738,1338,1007381338,345,West 14th Street,DDG,Y,
M-  757-  20,M,757,20,1,00757,0020,1007570020,321,West 33rd Street,SLGREEN,Y,
M-  757-  22,M,757,22,1,00757,0022,1007570022,315-19,West 33rd Street,SLGREEN,Y,
M-  758-1001,M,758,1001,1,00758,1001,1007581001,333,West 34th Street,AMER REALTY CAP,Y,
M-  767-  12,M,767,12,1,00767,0012,1007670012,249-55,WEST 17 STREET,ARC MONITORED,Y,
M-  767-  15,M,767,15,1,00767,0015,1007670015,245-47,WEST 17 STREET,ARC MONITORED,Y,
M-  767-  54,M,767,54,1,00767,0054,1007670054,218-22,West 18 Street,AMER REALTY CAP,Y,
M-  786-  23,M,786,23,1,00786,0023,1007860023,229-39,West 36 Street,AMER REALTY CAP,Y,
M-  787-  72,M,787,72,1,00787,0072,1007870072,256-60,West 38 Street,AMER REALTY CAP,Y,
M-  788-  66,M,788,66,1,00788,0066,1007880066,234-42,West 39th Street,HERALD SQUARE,Y,
M-  792-  32,M,792,32,1,00792,0032,1007920032,105,West 16th Street,WASSERSTEIN,Y,
M-  792-  36,M,792,36,1,00792,0036,1007920036,581-83,Avenue of the Americas,WASSERSTEIN,Y,
M-  792-  38,M,792,38,1,00792,0038,1007920038,585,Avenue of the Americas,WASSERSTEIN,Y,
M-  792-  39,M,792,39,1,00792,0039,1007920039,587-89,Avenue of the Americas,WASSERSTEIN,Y,
M-  792-  43,M,792,43,1,00792,0043,1007920043,108,West 17th Street,WASSERSTEIN,Y,
M-  794-  25,M,794,25,1,00794,0025,1007940025,113-33,West 18th Street,WASSERSTEIN,Y,
M-  795-  37,M,795,37,1,00795,0037,1007950037,635-39,Avenue of the Americas,SLGREEN,Y,
M-  795-  44,M,795,44,1,00795,0044,1007950044,641-49,Avenue of the Americas,SLGREEN,Y,
M-  811-  56,M,811,56,1,00811,0056,1008110056,142-48,West 36th Street,HERALD SQUARE,Y,
M-  814-  19,M,814,19,1,00814,0019,1008140019,1400,Broadway,EMPIRE,Y,
M-  815-  26,M,815,26,1,00815,0026,1008150026,1041,Avenue of the Americas,HINES,Y,
M-  817-1102,M,817,1102,1,00817,1102,1008171102,100,Fifth Avenue,CLARION,Y,
M-  818-  51,M,818,51,1,00818,0051,1008180051,114-16,Fifth Avenue,LAPIDUS,Y,
M-  820-   1,M,820,1,1,00820,0001,1008200001,620-34,Avenue of the Americas,RXR,Y,
M-  820-  58,M,820,58,1,00820,0058,1008200058,30-32,West 19th Street,RXR,Y,
M-  821-  41,M,821,41,1,00821,0041,1008210041,148-50,Fifth Avenue,LAPIDUS,Y,
M-  824-  15,M,824,15,1,00824,0015,1008240015,37-49,West 22nd Street,TWO TREES,Y,
M-  824-  28,M,824,28,1,00824,0028,,Sep-35,West 22nd Street,COLLIERS INTL,Y,
M-  825-  29,M,825,29,1,00825,0029,,23,West 23rd Street,LAPIDUS,Y,
M-  825-  31,M,825,31,1,00825,0031,,1097-99,Broadway,LAPIDUS,Y,
M-  838-  29,M,838,29,1,00838,0029,,23,West 36th Street,WASSERSTEIN,Y,
